bot,status,function,signature,param_count,is_async,error,error_type
nevis_fsrc_pdf_search,OK,consultar_nevis_fsrc_pdf_search,"(consulta_id: int, cedula, nombre: str, max_hits: int = 7)",4,async,,
ofac_programs_site_search_pdf,OK,consultar_ofac_programs_site_search_pdf,"(consulta_id: int, nombre: str, cedula=None, **_)",4,async,,
ofac_search_pdf,NO_FUNC,,,,,No se encontró función principal,
ofac_treas_gov_pdf,NO_FUNC,,,,,No se encontró función principal,
ofsi_conlist_html,OK,consultar_ofsi_conlist_html,"(consulta_id: int, cedula: str, nombre: str)",3,async,,
ofsi_govuk,OK,consultar_ofsi_govuk,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
ofsi_sanctions_pdf,NO_FUNC,,,,,No se encontró función principal,
opensanctions_au_dfat,OK,consultar_opensanctions_au_dfat,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
opensanctions_us_ddtc,NO_FUNC,,,,,No se encontró función principal,
opensanctions_us_ofac_cons_pdf,OK,consultar_opensanctions_us_ofac_cons_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
osfi_search_pdf,OK,consultar_osfi_search_pdf,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
paco_contratista,OK,consultar_paco_contratista,"(consulta_id: int, numero: str)",2,async,,
pdf_search_highlight,NO_FUNC,,,,,No se encontró función principal,
plantilla,NO_FUNC,,,,,No se encontró función principal,
policia_busqueda_general_pdf,NO_FUNC,,,,,No se encontró función principal,
policia_memorial_search_pdf,OK,consultar_policia_memorial_search_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
procuraduria_generar_certificado,NO_FUNC,,,,,No se encontró función principal,
rama_abogado_certificado,OK,consultar_rama_abogado_certificado,"(consulta_id: int, cedula: str, tipo_doc: str)",3,async,,
rama_vigencias_pdf,OK,consultar_rama_vigencias_pdf,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
ramajudicial_consejo_estado_magistrados,NO_FUNC,,,,,No se encontró función principal,
ramajudicial_juzgados,OK,consultar_ramajudicial_juzgados,"(consulta_id, cedula)",2,async,,
rethus,OK,consultar_rethus,"(consulta_id, cedula, tipo_doc, nombre, apellido)",5,async,,
rethus_identificacion,OK,consultar_rethus_identificacion,"(consulta_id: int, tipo_doc: str, numero: str, primer_nombre: str = '', primer_apellido: str = '')",5,async,,
royal_canadian_mounted_police,NO_FUNC,,,,,No se encontró función principal,
scj_mas_buscados_pdf,OK,consultar_scj_mas_buscados_pdf,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
secretservice_mostwanted_pdf,OK,consultar_secretservice_mostwanted_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
sideap_comprobante,OK,consultar_sideap_comprobante,"(consulta_id: int, numero: str, tipo_doc: str, fecha_nacimiento: str, correo: str)",5,async,,
sirna_inscritos_png,OK,consultar_sirna_inscritos_png,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
sirna_sanciones_png,OK,consultar_sirna_sanciones_png,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
skandia_enviar_certificado,NO_FUNC,,,,,No se encontró función principal,
state_designation_cartels_pdf,OK,consultar_state_designation_cartels_pdf,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
state_dss_mostwanted_pdf,OK,consultar_state_dss_mostwanted_pdf,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
state_section_353_pdf,OK,consultar_state_section_353_pdf,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
state_terrorist_orgs,OK,consultar_state_terrorist_orgs,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
superfinanciera_busqueda,NO_FUNC,,,,,No se encontró función principal,
supersociedades_boletines,OK,consultar_supersociedades_boletines,"(consulta_id: int, nombre: str, apellido: str, mostrar_navegador: bool = True, slow_ms: int = 150)",5,async,,
tnem_certificados,OK,consultar_tnem_certificados,"(consulta_id: int, numero: str)",2,async,,
un_consolidated_list,OK,consultar_un_consolidated_list,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
urls,IMPORT_ERROR,,,,,cannot import name 'views' from 'core.bots' (unknown location),
usa_drug,OK,consultar_usa_drug,"(consulta_id: int, nombre: str, apellido: str, cedula: str)",4,async,,
